date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths,continent
2022/1/21,Afghanistan,213,4,159516,7390,877,14,1216,22,Asia
2022/1/21,Africa,37382,350,10522979,235050,233270,2449,501256,4749,Africa
2022/1/21,Albania,2670,6,244182,3292,15405,30,29277,59,Europe
2022/1/21,Algeria,1855,15,232325,6468,7346,75,11009,143,Africa
2022/1/21,Andorra,824,0,33025,144,3137,2,6617,3,Europe
2022/1/21,Angola,456,3,95676,1884,2374,32,6901,75,Africa
2022/1/21,Anguilla,0,0,2187,7,147,1,410,1,North America
2022/1/21,Antigua and Barbuda,74,1,5815,122,569,2,1100,3,North America
2022/1/21,Argentina,118171,160,7694506,118969,761534,1068,1558670,1541,South America
2022/1/21,Armenia,628,0,349957,8026,2873,11,4439,29,Asia
2022/1/21,Aruba,221,0,32056,187,1951,3,5890,6,North America
2022/1/21,Asia,714156,1276,93580026,1282052,4363169,7957,7525067,15425,Asia
2022/1/21,Australia,43166,65,2129688,3043,516439,422,1269138,706,Oceania
2022/1/21,Austria,25418,,1530919,13956,119498,,209194,,Europe
2022/1/21,Azerbaijan,1068,17,630420,8581,6212,84,10371,150,Asia
2022/1/21,Bahamas,222,0,31915,726,2007,7,4793,9,North America
2022/1/21,Bahrain,3616,0,324304,1398,21432,1,34850,1,Asia
2022/1/21,Bangladesh,11434,12,1664616,28192,55574,63,73523,94,Asia
2022/1/21,Barbados,549,1,38171,274,3746,5,7167,9,North America
2022/1/21,Belarus,1836,17,722939,5899,9937,107,16409,214,Europe
2022/1/21,Belgium,54478,21,2697239,28780,286508,168,465553,321,Europe
2022/1/21,Belize,794,4,45753,616,5141,8,9951,11,North America
2022/1/21,Benin,,0,26309,163,,1,,2,Africa
2022/1/21,Bermuda,,0,9766,112,,2,,2,North America
2022/1/21,Bhutan,141,0,3458,3,572,0,705,0,Asia
2022/1/21,Bolivia,9590,66,804677,20570,79218,421,151858,682,South America
2022/1/21,Bonaire Sint Eustatius and Saba,234,0,6180,27,855,2,1884,4,North America
2022/1/21,Bosnia and Herzegovina,2574,33,329569,13984,16384,243,32236,416,Europe
2022/1/21,Botswana,,,243946,2544,,,,,Africa
2022/1/21,Brazil,171321,399,23766499,622875,833210,1812,1316277,3053,South America
2022/1/21,British Virgin Islands,,0,5602,47,,5,,7,North America
2022/1/21,Brunei,80,0,16066,98,269,0,489,0,Asia
2022/1/21,Bulgaria,9874,86,870751,32604,56911,602,95226,1133,Europe
2022/1/21,Burkina Faso,0,,20435,353,463,,1557,,Africa
2022/1/21,Burundi,0,0,36868,38,611,0,2146,0,Africa
2022/1/21,Cambodia,42,0,120956,3015,228,0,392,0,Asia
2022/1/21,Cameroon,4447,14,114113,1867,4447,14,4447,14,Africa
2022/1/21,Canada,15822,99,2877590,32217,142162,815,396597,1486,North America
2022/1/21,Cape Verde,287,1,55178,383,1394,13,6333,23,Africa
2022/1/21,Cayman Islands,,0,12023,15,,1,,3,North America
2022/1/21,Central African Republic,,0,13509,109,,1,,8,Africa
2022/1/21,Chad,0,0,6889,185,331,0,704,1,Africa
2022/1/21,Chile,17682,18,1934204,39474,76440,119,113133,242,South America
2022/1/21,China,63,0,105547,4636,802,0,2093,0,Asia
2022/1/21,Colombia,31039,197,5686065,131824,210161,1093,417203,1574,South America
2022/1/21,Comoros,9,0,7793,159,48,0,296,0,Africa
2022/1/21,Congo,136,0,23380,371,411,0,1536,1,Africa
2022/1/21,Cook Islands,0,,2,,0,,0,,Oceania
2022/1/21,Costa Rica,6169,10,643496,7451,33614,45,58949,79,North America
2022/1/21,Cote d'Ivoire,256,7,79814,771,1115,23,3493,39,Africa
2022/1/21,Croatia,11114,35,859264,13335,56519,297,109809,530,Europe
2022/1/21,Cuba,3392,1,1015203,8353,23078,21,42690,28,North America
2022/1/21,Curacao,310,1,35617,211,2725,9,8665,19,North America
2022/1/21,Cyprus,,,235364,700,,,,,Europe
2022/1/21,Czechia,26987,25,2705754,36997,131809,198,188279,490,Europe
2022/1/21,Democratic Republic of Congo,85,,84283,1278,1977,,4108,,Africa
2022/1/21,Denmark,46831,21,1319695,3571,239692,103,382046,228,Europe
2022/1/21,Djibouti,50,0,15250,189,449,0,1215,0,Africa
2022/1/21,Dominica,72,1,8421,49,599,1,1180,2,North America
2022/1/21,Dominican Republic,6363,5,530998,4279,41367,13,86013,27,North America
2022/1/21,Ecuador,28538,47,658045,34279,55103,73,98095,580,South America
2022/1/21,Egypt,1533,29,406926,22289,9148,192,15811,380,Africa
2022/1/21,El Salvador,3435,4,127012,3847,3435,15,4778,21,North America
2022/1/21,Equatorial Guinea,0,0,15558,179,239,1,1157,2,Africa
2022/1/21,Eritrea,32,1,9192,90,347,5,930,10,Africa
2022/1/21,Estonia,4479,5,282977,1999,20495,29,33385,48,Europe
2022/1/21,Eswatini,44,0,68047,1366,270,10,876,37,Africa
2022/1/21,Ethiopia,650,14,461252,7226,6696,109,19065,214,Africa
2022/1/21,Europe,1598208,3049,112754454,1592188,9179194,20677,17232120,41693,Europe
2022/1/21,European Union,1331611,1785,75706150,939670,7680251,12097,14273445,24134,Europe
2022/1/21,Faeroe Islands,1259,0,13207,15,3859,0,6352,0,Europe
2022/1/21,Falkland Islands,1,,86,,1,,1,,South America
2022/1/21,Fiji,422,16,60931,768,2440,47,5282,64,Oceania
2022/1/21,Finland,0,0,371135,1724,0,0,65613,86,Europe
2022/1/21,France,400851,233,16052999,128413,2433608,1626,4494960,3142,Europe
2022/1/21,French Polynesia,195,0,47470,636,461,0,936,0,Oceania
2022/1/21,Gabon,246,1,45909,300,757,3,1970,5,Africa
2022/1/21,Gambia,,0,11572,347,,3,,4,Africa
2022/1/21,Georgia,8767,49,1030710,14631,45908,236,77300,503,Asia
2022/1/21,Germany,133329,178,8635461,116668,691502,1092,1135685,2763,Europe
2022/1/21,Ghana,,0,154891,1357,,21,,44,Africa
2022/1/21,Gibraltar,165,0,11557,100,1008,0,1957,0,Europe
2022/1/21,Greece,20507,110,1762870,22476,130229,667,311516,1213,Europe
2022/1/21,Greenland,151,0,9407,4,2324,2,5412,3,North America
2022/1/21,Grenada,,0,10960,205,,3,,5,North America
2022/1/21,Guatemala,3189,22,666017,16245,17070,85,30404,127,North America
2022/1/21,Guinea,,0,35719,410,,4,,13,Africa
2022/1/21,Guinea-Bissau,62,0,7284,153,322,3,646,4,Africa
2022/1/21,Guyana,892,11,55628,1122,6572,41,12399,56,South America
2022/1/21,Haiti,133,0,28250,780,1168,0,1946,6,North America
2022/1/21,High income,2589037,5784,177596317,2022665,15380535,29569,30261103,56701,Others
2022/1/21,Honduras,,,387515,10468,,,,,North America
2022/1/21,Hong Kong,11,0,12918,213,64,0,169,0,Asia
2022/1/21,Hungary,15957,65,1401457,40822,74443,585,118500,1042,Europe
2022/1/21,Iceland,1458,0,54579,44,9605,0,18132,5,Europe
2022/1/21,India,337704,488,38903731,488884,2052769,3132,3535359,5421,Asia
2022/1/21,Indonesia,2604,2,4280248,144201,10508,38,15061,80,Asia
2022/1/21,International,0,0,721,15,0,0,0,0,Others
2022/1/21,Iran,5276,20,6241843,132172,24523,146,37619,351,Asia
2022/1/21,Iraq,7155,5,2144422,24277,36216,40,47932,79,Asia
2022/1/21,Ireland,6597,,1134548,6087,56367,,203950,,Europe
2022/1/21,Isle of Man,119,0,20425,70,739,0,2151,2,Europe
2022/1/21,Israel,64071,1,2168009,8371,449027,73,704816,112,Asia
2022/1/21,Italy,185600,373,9603856,142963,1247342,2415,2520094,4266,Europe
2022/1/21,Jamaica,773,7,117717,2568,8734,51,18254,79,North America
2022/1/21,Japan,49713,9,2071471,18476,241090,53,323564,80,Asia
2022/1/21,Jordan,6309,6,1129995,13049,34908,90,53955,218,Asia
2022/1/21,Kazakhstan,15169,7,1217538,18357,96590,64,143255,83,Asia
2022/1/21,Kenya,459,8,319838,5528,3138,46,10708,103,Africa
2022/1/21,Kiribati,0,,2,,0,,0,,Oceania
2022/1/21,Kosovo,2943,1,175283,2997,10578,3,13174,6,Europe
2022/1/21,Kuwait,4809,1,488959,2483,32648,9,60859,14,Asia
2022/1/21,Kyrgyzstan,788,1,193816,2843,5610,16,8332,29,Asia
2022/1/21,Laos,676,10,128924,518,5631,42,12034,97,Asia
2022/1/21,Latvia,5972,,324999,4773,26410,,39973,,Europe
2022/1/21,Lebanon,5628,15,853252,9460,44640,107,91399,210,Asia
2022/1/21,Lesotho,,0,31899,690,,3,,12,Africa
2022/1/21,Liberia,0,0,7208,288,87,1,357,1,Africa
2022/1/21,Libya,1700,18,403144,5907,6692,79,10276,129,Africa
2022/1/21,Liechtenstein,75,0,7746,73,726,1,1149,2,Europe
2022/1/21,Lithuania,6611,19,595685,7727,35705,109,59280,223,Europe
2022/1/21,Low income,2681,40,1740658,39795,32777,550,92323,993,Others
2022/1/21,Lower middle income,495913,1325,71503097,1216866,2971733,7668,5177575,15157,Others
2022/1/21,Luxembourg,2856,2,137570,943,14230,9,25367,21,Europe
2022/1/21,Macao,0,,79,,0,,0,,Asia
2022/1/21,Madagascar,,,55827,1169,,,,,Africa
2022/1/21,Malawi,162,5,83565,2507,1303,54,4483,100,Africa
2022/1/21,Malaysia,4046,16,2824973,31869,22710,107,44893,225,Asia
2022/1/21,Maldives,1697,0,112628,269,11210,4,15297,5,Asia
2022/1/21,Mali,71,0,29430,704,1450,21,5450,33,Africa
2022/1/21,Malta,306,1,65311,521,2405,20,6250,36,Europe
2022/1/21,Marshall Islands,0,,7,,0,,0,,Oceania
2022/1/21,Mauritania,280,4,56946,920,3303,20,9910,39,Africa
2022/1/21,Mauritius,0,0,24903,240,296,0,941,0,Africa
2022/1/21,Mexico,100279,609,4595589,302721,337813,1809,512471,2620,North America
2022/1/21,Micronesia (country),0,,1,,0,,0,,Oceania
2022/1/21,Moldova,3971,13,404556,10501,17651,74,24984,151,Europe
2022/1/21,Monaco,144,0,7304,45,819,1,1711,3,Europe
2022/1/21,Mongolia,5938,1,423495,2093,21033,11,30025,23,Asia
2022/1/21,Montenegro,1212,9,210931,2505,10396,40,25325,72,Europe
2022/1/21,Montserrat,1,0,152,1,23,0,52,0,North America
2022/1/21,Morocco,8338,35,1086340,15082,51941,128,96283,186,Africa
2022/1/21,Mozambique,543,3,221975,2149,4154,32,15703,74,Africa
2022/1/21,Myanmar,83,1,533815,19308,964,9,2014,20,Asia
2022/1/21,Namibia,130,18,155027,3902,1058,98,3510,204,Africa
2022/1/21,Nepal,8815,3,896584,11635,51083,22,65532,33,Asia
2022/1/21,Netherlands,57561,12,3787274,21277,278109,60,498090,137,Europe
2022/1/21,New Caledonia,341,0,15195,282,1659,1,2079,1,Oceania
2022/1/21,New Zealand,78,0,15479,52,478,0,954,1,Oceania
2022/1/21,Nicaragua,0,0,17604,219,41,1,78,1,North America
2022/1/21,Niger,0,0,8503,295,156,8,612,15,Africa
2022/1/21,Nigeria,359,7,251930,3124,1921,32,4921,54,Africa
2022/1/21,North America,1035942,4364,82239715,1267626,5854362,17429,12091045,31409,North America
2022/1/21,North Macedonia,2071,11,252947,8177,11296,94,21511,165,Europe
2022/1/21,Norway,24958,1,596613,1414,100301,33,161717,64,Europe
2022/1/21,Oceania,44202,81,2305985,5385,521722,470,1278762,777,Oceania
2022/1/21,Oman,,0,318272,4125,,6,,8,Asia
2022/1/21,Pakistan,6540,12,1360019,29077,39899,74,57533,115,Asia
2022/1/21,Palau,0,,208,,168,,190,,Oceania
2022/1/21,Palestine,1240,6,480583,5042,6349,37,9169,88,Asia
2022/1/21,Panama,11933,9,626890,7574,68214,74,109445,121,North America
